Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",14.000000,-11.500000,90.000000,top
"C2","100n","C_0402_1005Metric",14.000000,-16.500000,90.000000,top
"C3","100n","C_0402_1005Metric",14.000000,-21.500000,90.000000,top
"C4","100n","C_0402_1005Metric",24.000000,-26.000000,90.000000,top
"C5","100n","C_0402_1005Metric",10.000000,-32.000000,90.000000,top
"C6","10u","C_0805_2012Metric",18.000000,-6.500000,90.000000,top
"C7","100n","C_0402_1005Metric",24.000000,-30.000000,90.000000,top
"J1","Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",31.000000,-15.000000,90.000000,top
"R1","4.7k","R_0402_1005Metric",12.000000,-6.500000,90.000000,top
"R2","4.7k","R_0402_1005Metric",14.500000,-6.500000,90.000000,top
"R3","10k","R_0402_1005Metric",26.500000,-26.000000,90.000000,top
"R4","10k","R_0402_1005Metric",29.000000,-26.000000,90.000000,top
"U1","BMP581","BMP581_LGA-10_2x2mm",10.000000,-11.500000,0.000000,top
"U2","BMP581","BMP581_LGA-10_2x2mm",10.000000,-16.500000,0.000000,top
"U3","LSM6DSO32","Bosch_LGA-14_3x2.5mm_P0.5mm",10.000000,-21.500000,0.000000,top
"U4","BNO085","LGA-28_5.2x3.8mm_P0.5mm",17.500000,-28.000000,0.000000,top
"U5","SHT40","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",6.000000,-32.000000,0.000000,top
